store_num,mon_hours,tues_hours,wed_hours,thurs_hours,fri_hours,sat_hours,sun_hours,mon_open,mon_close,tues_open,tues_close,wed_open,wed_close,thurs_open,thurs_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
717,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,Closed,11,19,11,18,11,18,11,19,11,18,10,17,99,99
718,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,10 - 5,12 - 5,11,20,11,20,11,20,11,20,11,20,10,17,12,17
719,11 - 7,Closed,11 - 6,11 - 7,11 - 6,10 - 5,12 - 5,11,19,99,99,11,18,11,19,11,18,10,17,12,17
720,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,10 - 5,12 - 5,11,20,11,20,11,20,11,20,11,20,10,17,12,17
721,11 - 7,Closed,11 - 6,11 - 7,11 - 6,10 - 5,Closed,11,19,99,99,11,18,11,19,11,18,10,17,99,99
722,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,10,17,12,17
724,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,10,17,12,17
727,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,9 - 5,12 - 5,11,20,11,20,11,20,11,20,11,20,9,17,12,17
729,11 - 7,Closed,11 - 6,11 - 7,11 - 6,10 - 5,Closed,11,19,99,99,11,18,11,19,11,18,10,17,99,99
730,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,Closed,11,20,11,18,11,18,11,20,11,18,9,17,99,99
733,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,10 - 5,Closed,11,20,11,20,11,20,11,20,11,20,10,17,99,99
734,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,10 - 5,12 - 5,11,20,11,20,11,20,11,20,11,20,10,17,12,17
736,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,10 - 5,Closed,11,20,11,20,11,20,11,20,11,20,10,17,99,99
743,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,10,17,12,17
749,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,10 - 5,12 - 5,11,20,11,20,11,20,11,20,11,20,10,17,12,17
751,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,10 - 5,12 - 5,11,20,11,20,11,20,11,20,11,20,10,17,12,17
753,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,10,17,12,17
754,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,Closed,11,20,11,18,11,18,11,20,11,18,10,17,99,99
758,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,10,17,12,17
761,11 - 8,11 - 7,11 - 7,11 - 8,11 - 7,10 - 5,12 - 5,11,20,11,19,11,19,11,20,11,19,10,17,12,17
762,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,10,17,12,17
764,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,10,17,12,17
766,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,Closed,11,20,11,18,11,18,11,20,11,18,10,17,99,99
771,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,10 - 5,12 - 5,11,20,11,20,11,20,11,20,11,20,10,17,12,17
774,11 - 8,11 - 7,11 - 7,11 - 8,11 - 7,9 - 5,12 - 5,11,20,11,19,11,19,11,20,11,19,9,17,12,17
776,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,9,17,12,17
784,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,9,17,12,17
785,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,12 - 5,11,19,11,18,11,18,11,19,11,18,10,17,12,17
786,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,10 - 5,12 - 5,11,20,11,20,11,20,11,20,11,20,10,17,12,17
788,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,9,17,12,17
